"state","year","unemploymentrate","crude.rate","observed_data"
"Alabama",1999,4.7,3.81477700145436,TRUE
"Alabama",2000,4.6,4.42985316273527,TRUE
"Alabama",2001,5.1,4.83477384226192,TRUE
"Alabama",2002,5.9,4.70972786478126,TRUE
"Alabama",2003,6,4.37438422770246,TRUE
"Alabama",2004,5.7,6.24623542922121,TRUE
"Alabama",2005,4.5,6.19282442029802,TRUE
"Alabama",2006,4,8.59800461483856,TRUE
"Alabama",2007,4,10.9355338509343,TRUE
"Alabama",2008,5.7,12.8650593043203,TRUE
"Alabama",2009,11,13.2410300428463,TRUE
"Alabama",2010,10.5,11.4441467060105,TRUE
"Alabama",2011,9.6,11.4934391618118,TRUE
"Alabama",2012,8,11.654859381633,TRUE
"Alabama",2013,7.2,12.3714189603788,TRUE
"Alabama",2014,6.8,14.9091316265986,TRUE
"Alabama",2015,6.1,15.1472150836626,TRUE
"Alabama",2016,5.8,15.5450003084325,TRUE
"Alabama",2017,4.4,17.1290940842673,TRUE
"Alaska",1999,6.5,7.3626034165681,TRUE
"Alaska",2000,6.4,7.65633274422106,TRUE
"Alaska",2001,6.4,9.78359322975349,TRUE
"Alaska",2002,7.3,13.0772476130131,TRUE
"Alaska",2003,7.8,12.8004639011496,TRUE
"Alaska",2004,7.5,13.0444147153132,TRUE
"Alaska",2005,6.9,11.8450369295265,TRUE
"Alaska",2006,6.6,11.2542240360609,TRUE
"Alaska",2007,6.3,10.583566073791,TRUE
"Alaska",2008,6.7,18.4739364758421,TRUE
"Alaska",2009,7.7,18.7438742586512,TRUE
"Alaska",2010,7.9,11.6863386700947,TRUE
"Alaska",2011,7.6,14.8052214003249,TRUE
"Alaska",2012,7.1,17.6362261757142,TRUE
"Alaska",2013,7,14.2831491487243,TRUE
"Alaska",2014,6.9,16.8310864737788,TRUE
"Alaska",2015,6.5,16.5214941931011,TRUE
"Alaska",2016,6.9,17.2531385885315,TRUE
"Alaska",2017,7,19.8703694942518,TRUE
"Arizona",1999,4.4,10.171536696257,TRUE
"Arizona",2000,4,10.1741851686108,TRUE
"Arizona",2001,4.8,10.4674771502749,TRUE
"Arizona",2002,6.1,11.563575109034,TRUE
"Arizona",2003,5.7,12.2314968666317,TRUE
"Arizona",2004,5,13.1625411064036,TRUE
"Arizona",2005,4.7,13.5980395531691,TRUE
"Arizona",2006,4.2,14.529432965658,TRUE
"Arizona",2007,3.9,15.2893769959893,TRUE
"Arizona",2008,6.2,13.1839534090551,TRUE
"Arizona",2009,9.9,15.7965579899211,TRUE
"Arizona",2010,10.4,17.1776764673811,TRUE
"Arizona",2011,9.5,16.5213910363355,TRUE
"Arizona",2012,8.3,17.3043777481572,TRUE
"Arizona",2013,7.7,18.4407625964594,TRUE
"Arizona",2014,6.8,17.9900895552897,TRUE
"Arizona",2015,6.1,18.6582875236249,TRUE
"Arizona",2016,5.4,19.9391984297953,TRUE
"Arizona",2017,4.9,21.834963591766,TRUE
"Arkansas",1999,4.6,4.26116009140754,TRUE
"Arkansas",2000,4.3,5.23677713772724,TRUE
"Arkansas",2001,5,4.68128093221394,TRUE
"Arkansas",2002,5.5,6.50424050611861,TRUE
"Arkansas",2003,5.9,6.75274954345541,TRUE
"Arkansas",2004,5.7,8.36459144789623,TRUE
"Arkansas",2005,5.2,9.67244220535997,TRUE
"Arkansas",2006,5.2,10.1000758037268,TRUE
"Arkansas",2007,5.3,10.5664086497113,TRUE
"Arkansas",2008,5.5,12.5236819346584,TRUE
"Arkansas",2009,7.8,12.1166386994394,TRUE
"Arkansas",2010,8.2,12.0030810194251,TRUE
"Arkansas",2011,8.3,12.0831360605369,TRUE
"Arkansas",2012,7.6,12.6477935364689,TRUE
"Arkansas",2013,7.2,10.779310347158,TRUE
"Arkansas",2014,6,12.0012041657663,TRUE
"Arkansas",2015,5,13.1622951282048,TRUE
"Arkansas",2016,4,13.4192342804212,TRUE
"Arkansas",2017,3.7,14.845492046511,TRUE
"California",1999,5.2,7.94645747403431,TRUE
"California",2000,4.9,5.73045633917783,TRUE
"California",2001,5.4,3.55574034835466,TRUE
"California",2002,6.7,8.53123822563665,TRUE
"California",2003,6.8,8.81623119221741,TRUE
"California",2004,6.2,8.78436330485007,TRUE
"California",2005,5.4,8.97065176195016,TRUE
"California",2006,4.9,9.69984288697529,TRUE
"California",2007,5.4,10.6316329258527,TRUE
"California",2008,7.3,10.5533942603577,TRUE
"California",2009,11.2,10.9736610760427,TRUE
"California",2010,12.2,10.8901186225699,TRUE
"California",2011,11.7,11.0899123398144,TRUE
"California",2012,10.4,10.6200003522475,TRUE
"California",2013,8.9,11.6141591626598,TRUE
"California",2014,7.5,11.6513111268604,TRUE
"California",2015,6.2,11.9019585172168,TRUE
"California",2016,5.5,11.8573197051099,TRUE
"California",2017,4.8,12.3126254516284,TRUE
"Colorado",1999,3.1,8.25836520336638,TRUE
"Colorado",2000,2.8,8.18364660968028,TRUE
"Colorado",2001,3.8,9.28669379465832,TRUE
"Colorado",2002,5.5,9.97682614890502,TRUE
"Colorado",2003,6,11.0847804639356,TRUE
"Colorado",2004,5.5,11.3223721987238,TRUE
"Colorado",2005,5,13.126396838611,TRUE
"Colorado",2006,4.3,13.2827079268108,TRUE
"Colorado",2007,3.7,15.2793540538583,TRUE
"Colorado",2008,4.8,15.3178191842903,TRUE
"Colorado",2009,7.3,15.4660064619348,TRUE
"Colorado",2010,8.7,13.004066653994,TRUE
"Colorado",2011,8.4,16.4751535922089,TRUE
"Colorado",2012,7.9,15.5563806027548,TRUE
"Colorado",2013,6.9,16.058106809947,TRUE
"Colorado",2014,5,16.7853340617558,TRUE
"Colorado",2015,3.9,15.9257438825168,TRUE
"Colorado",2016,3.2,17.0019375350259,TRUE
"Colorado",2017,2.7,18.1018748548729,TRUE
"Connecticut",1999,2.9,9.15426141204187,TRUE
"Connecticut",2000,2.4,9.39638503449501,TRUE
"Connecticut",2001,3.1,8.94304561681526,TRUE
"Connecticut",2002,4.3,10.2349144155878,TRUE
"Connecticut",2003,5.4,8.81086095026427,TRUE
"Connecticut",2004,5,9.52491552000604,TRUE
"Connecticut",2005,4.9,8.4118534706452,TRUE
"Connecticut",2006,4.3,11.5708494197518,TRUE
"Connecticut",2007,4.5,12.2757826874608,TRUE
"Connecticut",2008,5.7,10.8867973326782,TRUE
"Connecticut",2009,7.9,11.0337252972999,TRUE
"Connecticut",2010,9.1,10.1564115355571,TRUE
"Connecticut",2011,8.8,11.2268268658525,TRUE
"Connecticut",2012,8.3,12.2272304041921,TRUE
"Connecticut",2013,7.8,16.1842895597428,TRUE
"Connecticut",2014,6.6,17.3215443032555,TRUE
"Connecticut",2015,5.7,22.2786242726725,TRUE
"Connecticut",2016,5.1,27.1498121602079,TRUE
"Connecticut",2017,4.7,29.8758369136031,TRUE
"Delaware",1999,3.4,6.45169615091808,TRUE
"Delaware",2000,3.7,7.01888718734048,TRUE
"Delaware",2001,3.5,8.04324248239598,TRUE
"Delaware",2002,4,10.4196514626586,TRUE
"Delaware",2003,4.3,9.41316841136279,TRUE
"Delaware",2004,4,7.58302509740576,TRUE
"Delaware",2005,4.1,7.33597586227297,TRUE
"Delaware",2006,3.6,9.07749386687273,TRUE
"Delaware",2007,3.4,11.1270560677443,TRUE
"Delaware",2008,4.9,14.0291489510948,TRUE
"Delaware",2009,8.3,15.251253182017,TRUE
"Delaware",2010,8.4,16.1481801557798,TRUE
"Delaware",2011,7.5,17.6379480452193,TRUE
"Delaware",2012,7.2,15.3746843282899,TRUE
"Delaware",2013,6.7,17.9314263369445,TRUE
"Delaware",2014,5.7,20.2006382974175,TRUE
"Delaware",2015,4.9,20.9316929088076,TRUE
"Delaware",2016,4.5,29.6198263774007,TRUE
"Delaware",2017,4.5,35.1373631799937,TRUE
"District of Columbia",1999,6.4,8.41790699265012,TRUE
"District of Columbia",2000,5.6,13.2853429453955,TRUE
"District of Columbia",2001,6.3,16.1878768468105,TRUE
"District of Columbia",2002,6.4,10.6427895972838,TRUE
"District of Columbia",2003,6.8,18.1177902628311,TRUE
"District of Columbia",2004,7.8,15.3235380111809,TRUE
"District of Columbia",2005,6.4,13.5769903515206,TRUE
"District of Columbia",2006,5.8,17.6981536094596,TRUE
"District of Columbia",2007,5.5,10.6197032054094,TRUE
"District of Columbia",2008,6.5,9.65124535533817,TRUE
"District of Columbia",2009,9.3,4.39020107120906,TRUE
"District of Columbia",2010,9.4,12.9627752304632,TRUE
"District of Columbia",2011,10.2,13.9159476760367,TRUE
"District of Columbia",2012,9,12.1773207680252,TRUE
"District of Columbia",2013,8.5,15.7785068891746,TRUE
"District of Columbia",2014,7.8,14.5698922283284,TRUE
"District of Columbia",2015,6.9,18.5948814985392,TRUE
"District of Columbia",2016,6.1,39.4908759927771,TRUE
"District of Columbia",2017,6.1,44.6703901598335,TRUE
"Florida",1999,3.9,6.32637455398901,TRUE
"Florida",2000,3.7,7.25173688170809,TRUE
"Florida",2001,4.7,10.6743512213695,TRUE
"Florida",2002,5.6,11.5462716687329,TRUE
"Florida",2003,5.2,12.0794503203201,TRUE
"Florida",2004,4.6,13.0000497263386,TRUE
"Florida",2005,3.7,13.2888406582253,TRUE
"Florida",2006,3.2,14.2621314813296,TRUE
"Florida",2007,4,15.2113677807115,TRUE
"Florida",2008,6.3,15.9926119853913,TRUE
"Florida",2009,10.4,16.5767383969801,TRUE
"Florida",2010,11.1,16.2807804349803,TRUE
"Florida",2011,10,15.3115233853348,TRUE
"Florida",2012,8.5,13.4437212800286,TRUE
"Florida",2013,7.2,12.65288044818,TRUE
"Florida",2014,6.3,13.2406408047897,TRUE
"Florida",2015,5.5,15.9240130565068,TRUE
"Florida",2016,4.8,22.9376057826053,TRUE
"Florida",2017,4.2,24.2465831760737,TRUE
"Georgia",1999,3.9,3.51729096509865,TRUE
"Georgia",2000,3.6,4.44637011902469,TRUE
"Georgia",2001,4,6.10000814130245,TRUE
"Georgia",2002,5,6.61710225926441,TRUE
"Georgia",2003,4.8,7.0394824507558,TRUE
"Georgia",2004,4.8,7.59471845489216,TRUE
"Georgia",2005,5.3,8.26805342910234,TRUE
"Georgia",2006,4.7,9.06527907461631,TRUE
"Georgia",2007,4.5,9.87167042353423,TRUE
"Georgia",2008,6.2,9.83709041801111,TRUE
"Georgia",2009,9.9,10.4668549938332,TRUE
"Georgia",2010,10.5,10.8798281689074,TRUE
"Georgia",2011,10.2,10.7791886266315,TRUE
"Georgia",2012,9.2,10.6452203112013,TRUE
"Georgia",2013,8.2,10.9886073761577,TRUE
"Georgia",2014,7.1,11.9437360897812,TRUE
"Georgia",2015,6,12.7461365109262,TRUE
"Georgia",2016,5.4,13.520367016861,TRUE
"Georgia",2017,4.7,14.7372149386843,TRUE
"Hawaii",1999,5.4,6.6099314219615,TRUE
"Hawaii",2000,4.2,5.20000627302344,TRUE
"Hawaii",2001,4.5,6.28085367405469,TRUE
"Hawaii",2002,4.2,6.21161604468491,TRUE
"Hawaii",2003,4.1,7.35321151512923,TRUE
"Hawaii",2004,3.4,8.08750841140135,TRUE
"Hawaii",2005,2.9,9.74682241985753,TRUE
"Hawaii",2006,2.6,6.5662338296948,TRUE
"Hawaii",2007,2.8,10.33689931024,TRUE
"Hawaii",2008,4.3,9.23275782476226,TRUE
"Hawaii",2009,7.2,10.0986324521039,TRUE
"Hawaii",2010,6.9,11.1004843780898,TRUE
"Hawaii",2011,6.8,13.0927182665241,TRUE
"Hawaii",2012,6,11.1325542460639,TRUE
"Hawaii",2013,4.9,11.2531284409289,TRUE
"Hawaii",2014,4.4,11.0597572066294,TRUE
